rank,d,Delta,p,torsion_coeff,q,local_sign,r,value,signed_residual,abs_residual,expression
1,5,5,2,-1,3,1,5,137.035999164765639345,-1.223436065494276436E-8,1.223436065494276436E-8,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +1*(Tr(eps^2)*eps)^-5; d=5, Delta=5"
2,5,5,2,-1,3,1,6,137.035704539606177642,-2.946373938223579725E-4,2.946373938223579725E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +1*(Tr(eps^2)*eps)^-6; d=5, Delta=5"
3,5,5,2,-1,3,1,7,137.035643843485348245,-3.553335146517546879E-4,3.553335146517546879E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +1*(Tr(eps^2)*eps)^-7; d=5, Delta=5"
4,5,5,2,-1,3,1,8,137.035631339396795633,-3.678376032043672305E-4,3.678376032043672305E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +1*(Tr(eps^2)*eps)^-8; d=5, Delta=5"
5,5,5,2,-1,3,0,1,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-1; d=5, Delta=5"
6,5,5,2,-1,3,0,2,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-2; d=5, Delta=5"
7,5,5,2,-1,3,0,3,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-3; d=5, Delta=5"
8,5,5,2,-1,3,0,4,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-4; d=5, Delta=5"
9,5,5,2,-1,3,0,5,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-5; d=5, Delta=5"
10,5,5,2,-1,3,0,6,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-6; d=5, Delta=5"
11,5,5,2,-1,3,0,7,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-7; d=5, Delta=5"
12,5,5,2,-1,3,0,8,137.035628095038275254,-3.710819617247464696E-4,3.710819617247464696E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +0*(Tr(eps^2)*eps)^-8; d=5, Delta=5"
13,5,5,2,-1,3,-1,8,137.035624850679754874,-3.743263202451257087E-4,3.743263202451257087E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 -1*(Tr(eps^2)*eps)^-8; d=5, Delta=5"
14,5,5,2,-1,3,-1,7,137.035612346591202262,-3.868304087977382513E-4,3.868304087977382513E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 -1*(Tr(eps^2)*eps)^-7; d=5, Delta=5"
15,5,5,2,-1,3,-1,6,137.035551650470372865,-4.475265296271349667E-4,4.475265296271349667E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 -1*(Tr(eps^2)*eps)^-6; d=5, Delta=5"
16,5,5,2,-1,3,-1,5,137.035257025310911162,-7.421516890888379965E-4,7.421516890888379965E-4,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 -1*(Tr(eps^2)*eps)^-5; d=5, Delta=5"
17,5,5,2,-1,3,1,4,137.037429305331489025,1.430128331489024585E-3,1.430128331489024585E-3,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +1*(Tr(eps^2)*eps)^-4; d=5, Delta=5"
18,5,5,2,-1,3,-1,4,137.033826884745061482,-2.172292254938517524E-3,2.172292254938517524E-3,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 -1*(Tr(eps^2)*eps)^-4; d=5, Delta=5"
19,5,5,2,-1,3,1,3,137.044371353464193390,8.372176464193390434E-3,8.372176464193390434E-3,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 +1*(Tr(eps^2)*eps)^-3; d=5, Delta=5"
20,5,5,2,-1,3,-1,3,137.026884836612357117,-9.114340387642883374E-3,9.114340387642883374E-3,"(3!/zeta_K(-3))*eps^-2 -1*w_K*eps^-3 -1*(Tr(eps^2)*eps)^-3; d=5, Delta=5"
